avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label
48.0,0.0,7.25,0.43,10.0,1.0,lying
48.0,0.0,7.75,0.43,10.25,1.3,lying
48.0,0.0,8.5,0.5,10.0,1.0,lying
48.0,0.0,7.75,0.43,10.5,0.5,lying
48.0,0.0,7.75,0.43,10.25,0.83,lying
48.0,0.0,8.0,0.0,10.33,0.47,lying
48.0,0.0,8.0,0.0,10.5,0.5,lying
48.0,0.0,7.5,0.5,10.0,1.0,lying
48.0,0.0,7.67,0.47,9.67,0.94,lying
48.0,0.0,6.0,0.0,10.0,1.0,lying
48.0,0.0,2.67,1.25,9.0,0.0,lying
48.0,0.0,2.75,0.43,9.0,0.0,lying
48.0,0.0,2.75,0.43,10.33,1.25,lying
48.0,0.0,4.33,0.47,10.0,0.71,lying
48.0,0.0,5.0,0.0,10.75,0.83,lying
48.0,0.0,5.25,0.43,10.5,0.5,lying
48.0,0.0,5.75,0.43,11.25,0.83,lying
48.0,0.0,5.5,0.5,11.0,1.0,lying
48.0,0.0,6.0,0.0,11.25,0.83,lying
48.0,0.0,6.0,0.0,10.0,0.82,lying
48.0,0.0,6.33,0.47,10.0,0.82,lying
48.0,0.0,7.5,0.5,9.25,0.43,lying
48.0,0.0,8.0,0.0,9.33,0.47,lying
48.0,0.0,8.0,0.0,9.0,0.0,lying
48.0,0.0,8.0,0.0,9.33,0.47,lying
48.0,0.0,8.75,0.43,9.25,0.43,lying
48.0,0.0,10.33,0.47,9.5,0.5,lying
48.0,0.0,10.0,0.71,9.0,0.0,lying
48.0,0.0,7.5,0.87,9.0,0.0,lying
48.0,0.0,8.5,0.87,8.5,0.87,lying
48.0,0.0,10.0,0.0,9.75,0.83,lying
48.0,0.0,9.33,0.47,9.67,0.94,lying
48.0,0.0,9.5,1.8,7.75,1.92,lying
48.0,0.0,9.8,2.23,1.75,0.83,lying
48.0,0.0,4.67,2.62,6.33,2.49,lying
48.0,0.0,13.0,2.24,6.67,1.7,lying
48.0,0.0,21.5,0.5,11.25,1.3,lying
48.0,0.0,23.0,0.82,12.0,1.87,lying
47.75,0.43,22.0,1.0,10.0,2.92,lying
48.0,0.0,19.25,1.92,13.0,1.0,lying
48.0,0.0,15.25,2.17,14.0,2.92,lying
44.75,2.17,21.5,2.06,20.75,3.49,lying
34.0,4.85,14.75,0.43,22.25,1.3,lying
36.0,2.55,19.0,1.63,20.0,2.16,lying
40.67,0.94,16.0,0.71,17.0,4.97,lying
43.5,1.5,14.25,1.3,4.0,3.56,lying
