avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label
36.0,0.0,15.0,0.0,12.25,0.43,standing
36.0,0.0,15.0,0.0,11.75,0.43,standing
36.0,0.0,14.75,0.43,12.25,1.09,standing
36.0,0.0,15.0,0.0,13.0,0.82,standing
36.0,0.0,15.0,0.0,12.67,0.94,standing
36.0,0.0,15.25,0.43,14.33,0.94,standing
35.5,0.87,15.0,0.0,14.25,0.83,standing
35.0,1.41,15.0,0.0,13.0,0.71,standing
35.25,1.3,14.25,0.43,12.5,0.87,standing
36.0,0.0,14.75,0.43,12.0,0.0,standing
36.0,0.0,15.0,0.0,11.25,0.83,standing
35.5,0.87,14.75,0.43,9.67,0.47,standing
36.0,0.0,14.25,0.43,7.75,1.64,standing
36.0,0.0,13.25,0.83,7.0,1.87,standing
36.0,0.0,13.25,0.43,8.25,1.09,standing
36.0,0.0,15.5,0.5,10.5,1.5,standing
36.0,0.0,15.0,0.0,12.75,1.3,standing
36.0,0.0,15.0,0.0,12.75,1.3,standing
35.25,1.3,15.0,0.0,14.0,0.0,standing
36.0,0.0,14.75,0.43,13.0,0.82,standing
35.25,1.3,14.25,0.43,12.75,0.83,standing
35.25,1.3,14.25,0.83,12.75,0.83,standing
35.25,1.3,14.0,0.71,12.5,0.5,standing
35.0,1.41,15.0,0.0,13.25,1.09,standing
35.4,1.2,14.0,0.89,12.25,0.43,standing
35.0,1.41,12.33,0.47,11.75,0.43,standing
36.0,0.0,12.25,0.43,12.25,1.09,standing
35.75,0.43,12.5,0.5,13.0,1.41,standing
33.75,1.3,12.0,0.0,16.5,1.5,standing
33.75,1.3,11.75,0.43,17.25,0.43,standing
32.75,0.43,14.5,0.87,16.75,0.83,standing
33.0,0.0,16.5,1.12,18.25,0.43,standing
39.75,3.34,9.75,4.44,16.25,0.83,standing
46.0,0.71,9.33,3.09,17.67,0.47,standing
45.25,0.43,15.25,0.43,19.75,1.09,standing
44.33,0.47,12.25,2.68,16.33,2.36,standing
44.0,0.71,14.0,2.16,17.25,3.77,standing
45.33,0.47,15.0,0.82,15.0,2.74,standing
40.5,2.5,11.0,1.58,11.5,0.5,standing
34.25,2.77,12.25,0.83,5.5,2.29,standing
35.0,1.22,9.25,3.49,10.0,3.74,standing
36.25,0.43,16.75,2.95,18.0,1.87,standing
35.25,1.3,19.67,0.47,18.33,0.47,standing
35.25,1.3,18.67,0.47,18.67,0.47,standing
41.33,1.7,18.25,0.43,18.67,0.94,standing
45.0,0.0,18.0,0.0,16.33,1.25,standing
44.0,1.0,18.0,0.0,16.25,1.48,standing
38.0,2.0,18.0,0.0,18.25,1.3,standing
35.33,1.7,18.33,0.47,16.5,1.5,standing
38.75,0.43,18.5,0.5,14.75,0.43,standing
40.0,0.71,18.25,0.43,14.75,0.43,standing
39.5,1.12,18.25,0.43,14.75,0.83,standing
39.25,0.43,18.0,0.0,15.25,0.83,standing
39.5,0.5,18.0,0.0,15.25,0.43,standing
39.33,0.47,18.0,0.0,14.75,0.43,standing
39.5,0.5,18.0,0.0,14.33,0.47,standing
39.25,0.43,18.0,0.0,14.5,0.87,standing
39.0,0.0,18.0,0.0,14.33,0.94,standing
39.33,0.47,18.33,0.47,13.5,1.5,standing
42.67,0.94,18.33,0.47,9.67,3.3,standing
46.75,1.09,16.0,1.73,12.0,0.0,standing
47.0,1.22,16.0,1.22,8.75,1.09,standing
45.0,0.71,18.25,0.43,1.33,0.47,standing
42.5,0.87,20.25,0.83,8.0,2.83,standing
41.75,0.43,21.0,0.0,15.5,2.06,standing
41.5,0.5,21.0,0.0,17.0,1.41,standing
41.5,0.5,19.25,0.43,17.75,0.43,standing
40.67,1.25,19.25,0.43,18.0,0.0,standing
