avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label
34.5,7.5,21.0,2.49,19.75,1.79,cycling
34.0,4.06,19.0,1.0,15.0,0.0,cycling
38.67,0.47,17.75,4.82,21.33,2.36,cycling
41.75,0.43,13.25,3.03,13.75,4.76,cycling
31.0,2.6,22.0,3.46,20.0,4.69,cycling
28.0,2.16,19.0,0.82,17.5,3.57,cycling
32.5,5.55,17.75,3.9,18.25,2.68,cycling
37.5,1.5,18.25,4.92,13.0,2.16,cycling
41.5,0.5,15.5,2.87,18.0,3.67,cycling
40.75,2.77,18.0,0.0,24.0,0.0,cycling
35.0,3.08,21.75,2.49,26.25,0.83,cycling
30.67,0.94,23.5,0.87,13.5,3.5,cycling
31.0,8.86,19.5,4.97,19.25,0.83,cycling
28.67,6.13,22.0,0.82,15.25,3.9,cycling
37.5,1.5,18.75,3.42,20.0,4.18,cycling
41.5,1.5,15.75,3.34,15.5,6.5,cycling
37.5,3.2,20.0,2.74,25.75,2.28,cycling
35.0,3.0,23.75,1.79,16.5,6.54,cycling
28.0,7.04,21.0,0.0,14.33,3.3,cycling
36.25,5.72,18.0,3.0,15.0,7.35,cycling
36.0,3.54,18.5,3.5,13.0,2.12,cycling
38.33,0.94,18.25,3.27,12.33,7.59,cycling
40.5,1.5,11.25,1.92,19.75,3.03,cycling
35.33,4.11,19.67,0.94,22.0,3.24,cycling
35.25,1.48,22.0,1.22,23.0,5.79,cycling
30.25,0.83,17.0,1.22,14.0,4.74,cycling
39.33,2.05,20.33,0.94,17.5,2.96,cycling
36.5,2.29,17.75,2.95,13.5,4.03,cycling
39.0,0.0,18.5,3.04,19.0,6.96,cycling
40.75,1.3,15.67,2.87,17.75,3.03,cycling
36.5,2.96,21.25,2.05,24.5,2.69,cycling
34.0,2.74,24.33,0.47,13.67,9.57,cycling
31.0,1.41,19.0,1.87,15.33,4.03,cycling
38.0,1.41,19.75,3.63,19.67,1.25,cycling
36.33,3.09,18.33,3.09,13.25,1.92,cycling
39.0,0.0,20.25,2.49,19.5,4.03,cycling
41.5,0.87,17.0,2.12,17.25,4.44,cycling
35.5,4.5,20.5,2.5,18.0,3.67,cycling
33.0,4.9,23.75,1.79,20.0,8.4,cycling
31.0,0.71,20.5,2.29,16.67,3.3,cycling
36.0,5.61,19.0,2.92,17.25,3.34,cycling
36.75,2.28,18.75,3.27,14.75,2.17,cycling
38.75,0.43,19.0,3.24,19.25,4.44,cycling
41.0,1.22,14.5,0.87,15.75,5.12,cycling
40.25,2.49,17.75,2.86,19.75,6.14,cycling
35.5,1.66,23.0,1.22,22.25,8.81,cycling
31.5,1.5,22.0,1.63,12.0,7.79,cycling
31.0,6.82,15.0,2.24,22.0,1.0,cycling
33.0,5.61,19.75,1.79,18.75,2.49,cycling
36.5,0.87,21.25,2.28,14.25,2.49,cycling
39.0,0.0,15.75,1.3,23.0,1.41,cycling
42.0,0.0,14.33,2.62,12.5,4.5,cycling
38.25,6.5,18.0,3.94,16.75,4.44,cycling
34.33,1.7,24.0,1.41,21.67,2.62,cycling
31.25,1.09,19.25,1.09,15.0,5.2,cycling
29.25,7.26,18.25,1.3,19.5,2.69,cycling
34.5,9.71,18.25,7.73,17.75,4.6,cycling
34.5,2.6,18.25,3.9,14.25,3.9,cycling
37.75,1.3,13.25,4.76,20.25,3.77,cycling
41.75,0.43,13.75,2.49,15.25,2.95,cycling
38.25,2.49,19.67,1.25,25.0,2.94,cycling
35.0,3.74,22.25,2.05,7.67,4.19,cycling
33.5,3.84,17.5,0.87,17.25,3.9,cycling
38.0,2.35,21.0,0.82,16.33,3.86,cycling
38.0,0.82,18.0,3.67,13.67,1.25,cycling
39.25,0.43,16.0,3.74,20.75,2.49,cycling
37.67,0.94,12.33,0.47,21.75,1.92,cycling
40.75,1.3,10.75,5.07,17.5,2.29,cycling
32.25,3.9,21.75,2.49,21.0,3.67,cycling
31.67,1.25,22.33,1.7,13.5,6.54,cycling
36.5,2.87,18.75,3.83,14.75,3.9,cycling
34.0,4.06,19.0,1.58,13.25,1.64,cycling
38.25,1.3,20.0,2.12,21.0,2.55,cycling
41.0,1.22,15.75,1.92,13.5,6.69,cycling
38.0,5.83,16.75,4.09,16.0,5.05,cycling
34.75,2.17,23.75,1.09,20.0,5.34,cycling
29.0,4.74,20.67,2.05,19.5,0.5,cycling
30.75,8.07,18.0,3.54,19.75,1.48,cycling
32.0,7.12,18.25,2.77,15.0,2.45,cycling
37.5,1.12,18.25,3.83,19.33,2.62,cycling
40.25,1.79,12.5,2.6,19.25,4.92,cycling
41.25,1.3,15.75,5.31,13.75,2.49,cycling
35.25,2.49,23.25,1.92,21.75,5.76,cycling
27.0,4.24,18.33,4.5,16.75,5.49,cycling
32.0,7.12,21.0,0.82,19.0,1.58,cycling
35.25,3.27,18.5,4.39,13.0,4.97,cycling
39.0,0.0,18.25,3.19,19.5,0.5,cycling
41.0,1.22,15.67,1.7,14.5,2.6,cycling
39.0,2.12,17.5,4.97,25.75,2.86,cycling
32.75,2.68,22.0,2.45,18.25,5.85,cycling
32.33,2.62,13.5,1.5,17.5,2.5,cycling
36.0,3.0,16.5,0.5,19.0,0.0,cycling
37.67,1.25,17.0,2.16,20.5,0.5,cycling
41.75,1.09,16.25,2.49,18.0,3.67,cycling
42.67,1.7,13.33,5.56,12.0,4.95,cycling
36.75,2.49,22.0,2.74,22.75,6.3,cycling
29.75,2.17,17.25,4.44,16.75,3.63,cycling
31.0,9.67,14.0,5.89,18.67,0.94,cycling
32.0,5.66,18.0,3.54,14.0,4.0,cycling
38.33,1.7,19.67,1.89,18.25,2.28,cycling
42.25,1.48,15.33,2.05,17.25,3.9,cycling
36.0,4.24,19.25,3.27,25.75,2.77,cycling
32.25,2.28,19.5,2.96,15.25,5.63,cycling
34.75,3.03,16.25,4.09,16.75,3.27,cycling
36.75,2.28,14.75,7.36,14.5,0.5,cycling
39.25,0.43,14.75,5.07,17.25,2.59,cycling
41.5,0.5,9.5,2.29,10.25,3.27,cycling
39.5,3.77,14.75,4.49,20.25,6.83,cycling
33.67,3.3,19.67,3.4,25.5,1.5,cycling
32.0,4.85,13.25,5.67,19.25,1.09,cycling
31.0,6.48,22.0,1.41,18.0,0.0,cycling
37.5,1.12,19.75,2.59,14.25,7.56,cycling
40.33,1.25,13.5,3.2,19.33,3.77,cycling
42.0,0.82,15.0,1.22,20.33,2.62,cycling
35.75,2.86,20.0,2.83,24.67,2.62,cycling
33.0,1.87,22.25,1.3,15.67,2.62,cycling
30.5,5.5,14.5,6.5,18.0,5.2,cycling
29.25,6.83,17.25,3.77,15.75,3.7,cycling
37.25,1.3,19.5,4.5,20.5,2.06,cycling
39.5,1.5,14.0,1.22,13.5,7.63,cycling
42.25,0.43,13.33,4.5,18.5,4.03,cycling
37.0,2.45,22.75,2.77,24.25,7.15,cycling
31.0,1.87,19.5,5.02,17.5,2.29,cycling
34.25,3.63,19.5,3.2,17.5,2.87,cycling
37.0,1.22,16.33,4.19,17.0,2.45,cycling
39.25,0.43,19.25,3.03,21.0,0.0,cycling
42.0,0.82,14.33,0.94,12.33,5.79,cycling
40.67,1.25,16.25,4.26,20.67,2.87,cycling
34.75,2.05,23.25,1.3,24.75,2.86,cycling
