avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label
39.5,0.5,12.0,0.0,3.0,0.71,lying
39.5,0.5,12.0,0.0,2.0,0.82,lying
39.5,0.5,12.0,0.0,6.25,0.43,lying
39.5,0.5,12.0,0.0,6.25,0.83,lying
39.67,0.47,12.0,0.0,5.67,0.47,lying
39.5,0.5,12.0,0.0,6.25,0.43,lying
39.5,0.5,13.0,0.0,4.25,1.3,lying
39.67,0.47,12.25,0.43,4.67,1.7,lying
39.33,0.47,12.33,0.47,6.75,0.83,lying
39.5,0.5,12.0,0.0,7.5,1.12,lying
39.5,0.5,12.0,0.0,6.67,1.25,lying
39.5,0.5,12.25,0.43,6.33,0.94,lying
39.5,0.5,12.33,0.47,6.0,0.82,lying
39.5,0.5,12.0,0.0,5.67,0.94,lying
39.5,0.5,12.0,0.0,5.67,0.94,lying
39.5,0.5,12.0,0.0,6.0,0.82,lying
39.5,0.5,12.33,0.47,7.67,0.47,lying
40.0,0.0,12.0,0.0,10.0,0.0,lying
39.5,0.5,13.5,0.5,7.0,1.41,lying
39.67,0.47,13.0,1.0,5.33,2.62,lying
39.67,0.47,12.0,0.0,10.0,0.0,lying
39.5,0.5,12.0,1.22,7.75,2.86,lying
39.67,0.47,11.5,0.87,1.0,0.0,lying
39.33,0.47,8.0,0.82,6.0,0.71,lying
39.33,0.47,10.67,0.94,4.0,0.71,lying
39.5,0.5,7.75,0.83,4.5,1.5,lying
39.5,0.5,8.75,0.43,1.67,0.94,lying
39.5,0.5,9.0,0.0,3.25,1.09,lying
39.5,0.5,9.0,0.0,2.75,0.83,lying
39.5,0.5,9.0,0.0,1.75,0.83,lying
39.5,0.5,9.5,0.87,2.0,0.0,lying
39.5,0.5,10.75,0.43,0.0,0.0,lying
39.5,0.5,11.67,0.47,3.5,0.5,lying
39.5,0.5,10.25,0.43,1.0,0.0,lying
39.5,0.5,10.25,0.43,1.0,0.0,lying
