avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label
48.0,0.0,15.75,0.83,9.75,1.3,standing
48.0,0.0,16.67,0.47,14.0,1.41,standing
47.25,1.3,11.0,1.22,15.5,2.18,standing
41.25,2.59,12.0,3.56,14.25,3.9,standing
45.0,0.0,12.25,1.09,11.75,5.93,standing
45.25,0.43,11.75,5.36,10.5,6.58,standing
45.25,0.43,14.25,1.48,16.5,1.12,standing
46.5,0.5,11.75,0.43,14.75,0.43,standing
47.5,0.5,11.0,0.82,15.33,0.94,standing
47.5,0.5,11.5,1.12,18.25,0.43,standing
47.5,0.5,15.5,0.5,16.0,1.58,standing
47.5,0.5,17.25,0.43,12.5,1.5,standing
47.5,0.5,17.0,0.0,9.67,0.47,standing
47.67,0.47,16.5,0.5,10.0,0.82,standing
47.5,0.5,16.33,0.47,10.5,1.5,standing
47.5,0.5,16.75,0.43,12.25,0.43,standing
47.5,0.5,16.75,0.43,12.75,0.83,standing
47.5,0.5,17.0,0.71,12.5,0.5,standing
47.5,0.5,16.5,0.87,12.25,0.43,standing
47.5,0.5,17.0,0.0,12.5,0.5,standing
47.5,0.5,16.5,0.5,12.75,0.83,standing
47.5,0.5,17.0,0.0,13.0,1.22,standing
47.5,0.5,17.5,0.5,13.0,1.0,standing
47.5,0.5,17.0,0.0,12.67,0.94,standing
47.5,0.5,17.2,0.4,13.2,1.17,standing
47.5,0.5,17.0,0.0,14.5,0.87,standing
47.75,0.43,16.75,0.43,13.75,0.83,standing
47.5,0.5,16.0,0.71,13.0,1.22,standing
47.5,0.5,15.75,0.83,12.75,0.83,standing
47.5,0.5,15.5,0.5,11.5,0.5,standing
47.5,0.5,16.33,0.47,12.67,0.47,standing
47.67,0.47,15.5,0.5,16.33,1.25,standing
47.5,0.5,15.25,0.43,16.5,1.12,standing
47.5,0.5,19.25,1.3,14.0,0.82,standing
47.5,0.5,17.0,2.74,13.25,1.3,standing
47.33,0.47,19.0,0.82,13.25,1.3,standing
47.5,0.5,21.0,0.0,12.5,1.12,standing
47.5,0.5,21.0,0.0,9.75,1.3,standing
47.5,0.5,20.75,0.43,7.5,2.06,standing
47.5,0.5,20.25,0.43,8.0,0.82,standing
47.5,0.5,21.0,0.0,7.0,1.41,standing
47.5,0.5,21.0,0.0,10.0,1.0,standing
47.5,0.5,20.0,0.71,9.75,0.43,standing
47.5,0.5,19.5,0.5,10.75,0.43,standing
47.5,0.5,19.0,0.71,11.5,0.5,standing
47.5,0.5,19.0,0.71,12.0,0.0,standing
47.67,0.47,18.75,0.43,12.5,0.5,standing
47.75,0.43,18.75,0.43,12.25,0.43,standing
47.5,0.5,18.25,0.43,12.75,0.83,standing
47.5,0.5,18.25,0.43,14.0,1.0,standing
47.5,0.5,18.25,0.43,13.75,0.83,standing
47.5,0.5,19.0,0.0,12.33,0.47,standing
47.6,0.49,19.4,0.49,10.75,1.3,standing
47.33,0.47,20.33,0.47,5.75,2.49,standing
47.5,0.5,20.5,0.5,2.67,1.7,standing
47.33,0.47,20.33,0.47,6.0,1.22,standing
47.5,0.5,20.5,0.5,5.33,0.94,standing
47.75,0.43,20.0,0.0,7.75,0.83,standing
